entity_id,segment_id,horizon_y,event_era,missing_count,population_bin,gdp_bin,energy_per_capita_bin,energy_per_gdp_bin,electricity_demand_per_capita_bin,carbon_intensity_elec_bin,fossil_share_energy_bin,renewables_share_energy_bin,low_carbon_share_energy_bin,energy_cons_change_pct_bin,fossil_cons_change_pct_bin,renewables_cons_change_pct_bin,fossil_share_elec_bin,renewables_share_elec_bin,low_carbon_share_elec_bin,fossil_share_energy_chg1_bin,renewables_share_energy_chg1_bin,energy_cons_change_pct_std5_bin,fossil_share_energy_std5_bin,slice_hard_transition,target_fossil_share_rebound_next,row_id
1041986965206509553,0,1,1,0,9,9,5,5,5,3,3,9,8,2,0,10,3,8,8,0,11,2,10,0,0,43
1041986965206509553,0,1,1,0,9,9,5,6,5,2,3,9,8,1,1,3,3,8,8,8,8,3,11,0,0,44
1041986965206509553,0,1,1,0,9,9,5,6,5,3,4,8,7,9,10,2,4,8,7,10,0,5,11,0,1,45
1041986965206509553,0,1,1,0,9,9,5,6,5,3,4,8,7,9,11,1,4,7,7,11,0,5,9,0,0,46
1041986965206509553,0,1,1,0,9,9,6,5,5,3,4,8,7,8,9,8,4,8,7,5,8,6,9,0,0,47
1041986965206509553,0,1,1,0,9,9,6,5,5,3,4,8,7,8,7,7,4,8,7,2,9,5,8,0,1,48
1041986965206509553,0,1,1,0,9,9,6,5,6,3,5,7,6,7,10,0,5,7,7,11,0,0,8,0,0,49
1041986965206509553,0,1,1,0,9,9,6,4,6,4,5,7,6,4,5,4,5,7,6,8,3,1,8,0,0,50
1041986965206509553,0,1,1,0,9,9,6,5,6,3,5,8,6,2,1,7,4,7,7,1,10,4,8,0,0,51
1041986965206509553,0,1,2,0,9,10,6,4,6,4,5,8,6,7,8,8,5,7,6,9,3,3,7,0,0,52
1041986965206509553,0,1,2,0,9,10,6,4,6,4,5,8,6,6,8,4,5,7,6,10,1,2,5,0,0,53
1041986965206509553,0,1,2,0,9,10,6,4,6,4,5,7,6,7,8,4,5,7,6,10,1,2,6,0,0,54
1041986965206509553,0,1,2,0,9,10,6,5,6,4,5,8,6,9,9,8,5,7,6,4,8,4,6,0,0,55
1041986965206509553,0,1,2,0,9,10,6,5,6,4,5,8,6,2,2,5,5,7,6,5,7,3,5,0,0,56
1041986965206509553,0,1,2,0,9,10,6,5,6,4,5,8,6,5,5,5,5,7,6,4,3,3,3,0,0,57
1041986965206509553,0,1,3,0,9,10,6,4,6,4,5,8,6,3,3,7,5,7,6,4,9,3,2,0,0,59
5349888185967720149,0,1,0,6,7,9,10,9,-1,-1,8,5,3,5,6,5,7,5,4,-1,-1,-1,-1,0,0,64
5349888185967720149,0,1,0,4,7,9,10,9,-1,-1,7,5,4,3,3,6,7,5,4,4,7,-1,-1,0,0,65
5349888185967720149,0,1,0,2,7,9,10,9,-1,-1,7,5,4,5,5,4,7,5,4,7,4,0,2,0,0,66
5349888185967720149,0,1,0,2,7,9,10,9,-1,-1,7,5,4,6,6,5,7,5,4,5,5,0,2,0,1,67
5349888185967720149,0,1,0,2,7,9,10,9,-1,-1,8,5,3,7,8,3,7,5,4,8,3,0,2,0,0,68
5349888185967720149,0,1,0,2,8,9,10,9,-1,-1,8,5,3,6,7,3,7,5,4,8,3,0,2,0,0,69
5349888185967720149,0,1,0,2,8,9,10,9,-1,-1,8,5,3,6,7,5,7,5,4,7,4,0,2,0,0,70
5349888185967720149,0,1,0,2,8,9,10,9,-1,-1,8,5,3,6,6,4,7,4,4,7,3,0,2,0,0,71
5349888185967720149,0,1,0,2,8,9,10,8,-1,-1,8,5,3,6,6,3,7,4,4,8,3,0,2,0,0,72
5349888185967720149,0,1,0,2,8,9,10,8,-1,-1,8,5,3,7,8,5,7,4,4,7,4,0,1,0,0,73
5349888185967720149,0,1,1,0,8,9,10,8,11,11,8,5,3,4,4,4,8,4,3,7,4,0,1,0,0,74
5349888185967720149,0,1,1,0,8,9,10,8,11,11,8,4,3,4,5,3,8,4,3,8,3,0,1,0,0,75
5349888185967720149,0,1,1,0,8,9,10,8,11,11,8,5,3,5,6,5,8,4,3,5,6,0,1,0,0,76
5349888185967720149,0,1,1,0,8,9,10,7,11,11,8,5,3,5,5,5,8,4,4,5,6,0,1,0,0,77
5349888185967720149,0,1,1,0,8,10,10,7,11,11,8,5,3,6,7,5,7,4,4,5,6,0,1,0,0,78
5349888185967720149,0,1,1,0,8,10,10,7,11,11,8,5,3,4,4,7,7,4,4,4,7,0,2,0,0,79
5349888185967720149,0,1,1,0,8,10,10,7,11,11,8,5,3,7,8,5,7,4,4,7,3,0,2,0,1,80
5349888185967720149,0,1,1,0,8,10,10,7,11,11,8,5,3,6,6,3,7,4,4,8,3,0,2,0,1,81
5349888185967720149,0,1,1,0,8,10,10,7,11,11,8,4,3,5,6,2,8,4,3,8,2,0,2,0,0,82
5349888185967720149,0,1,1,0,8,10,10,7,11,11,8,5,3,2,2,6,8,4,3,4,7,1,2,0,0,83
5349888185967720149,0,1,2,0,8,10,10,6,11,10,8,5,3,3,3,8,7,4,4,3,8,1,2,0,0,84
5349888185967720149,0,1,2,0,8,10,10,7,11,10,7,6,4,6,6,10,7,5,4,1,10,1,5,0,0,85
5349888185967720149,0,1,2,0,8,10,10,6,11,10,7,6,4,2,3,3,7,5,4,6,5,1,6,0,0,86
5349888185967720149,0,1,2,0,8,10,10,6,10,10,7,6,4,5,4,8,7,5,4,2,9,1,7,0,1,87
5349888185967720149,0,1,2,0,8,10,10,6,10,10,7,6,4,4,5,2,7,5,4,9,2,1,6,0,0,88
5349888185967720149,0,1,2,0,8,10,10,6,10,10,7,6,4,5,6,6,7,5,4,4,8,1,3,0,0,89
5349888185967720149,0,1,3,0,8,10,10,6,10,10,7,7,4,4,3,8,6,6,5,2,9,0,4,0,1,90
5349888185967720149,0,1,3,0,8,10,10,5,10,10,7,6,4,3,4,2,7,6,4,9,2,0,4,0,0,91
-816668599911829433,0,1,0,4,5,7,8,7,9,2,2,10,9,4,9,1,2,10,9,-1,-1,-1,-1,0,0,96
-816668599911829433,0,1,0,2,5,7,9,7,9,2,2,10,9,7,9,4,2,10,9,10,1,-1,-1,0,0,97
-816668599911829433,0,1,0,0,5,7,9,7,9,1,1,11,10,2,1,7,1,10,10,0,11,3,9,0,0,98
-816668599911829433,0,1,0,0,5,7,9,7,9,1,1,11,10,5,5,6,1,10,10,2,9,2,9,0,0,99
-816668599911829433,0,1,0,0,5,7,9,6,9,1,1,11,10,3,4,3,2,10,9,9,1,2,9,0,0,100
-816668599911829433,0,1,0,0,5,7,9,7,9,2,1,11,10,8,8,6,2,10,9,5,6,3,9,0,1,101
-816668599911829433,0,1,0,0,5,7,9,7,9,2,2,10,9,5,10,1,2,10,9,11,0,2,8,0,0,102
-816668599911829433,0,1,0,0,5,7,9,7,9,2,2,10,9,5,3,6,2,10,9,2,10,1,8,0,0,103
-816668599911829433,0,1,0,0,5,7,9,6,9,2,2,10,10,6,6,5,2,10,9,4,7,1,7,0,0,104
-816668599911829433,0,1,0,0,5,7,9,6,9,2,1,11,10,4,2,7,2,10,9,1,11,1,8,0,0,105
-816668599911829433,0,1,1,0,5,7,9,6,9,2,1,11,10,4,4,5,1,10,10,3,9,0,9,0,1,106
-816668599911829433,0,1,1,0,5,7,9,6,10,2,1,10,10,6,9,3,2,10,9,11,0,0,7,0,0,107
